file,...1,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,susp,num
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,2,6154.655,95.312,4,160,526.27,138.008,54,96,109.946,93.136,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,3,599.813,137.057,97,160,144.297,42.057,249,116,95.711,26.155,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,4,3199.37,124.987,69,160,519.38,114.041,949,434,22.094,73.578,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,5,20890.584,119.454,31,160,2299.305,347.81,1577,453,174.65,192.125,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,6,8523.262,120.924,45,160,1260.712,179.96,1088,485,156.714,136.118,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,7,2036.958,129.423,58,160,465.187,91.995,999,451,162.801,68.822,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,8,353.54,142.297,118,160,83.32,27.201,1093,602,67.38,21.753,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,9,508.966,140.086,109,160,109.803,34.318,286,636,142.431,26.155,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,10,2212.086,137.186,89,160,564.064,114.702,66,732,128.333,66.065,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,11,973.055,136.242,82,160,192.869,58.034,959,745,152.049,28.824,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,12,4923.286,130.498,72,160,870.369,165.978,1405,795,149.718,102.036,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,13,488.169,145.639,118,160,138.633,48.364,1361,865,38.853,19.768,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,14,380.903,144.756,119,160,120.37,36.617,1331,840,143.13,25.434,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,15,938.029,135.211,96,160,176.234,46.436,1584,1009,104.349,36.617,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,16,1705.309,114.694,47,160,210.834,65.05,495,1132,152.199,45.528,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,17,577.922,144.511,112,160,168.224,43.313,417,1160,52.853,27.195,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,18,897.531,114.427,74,160,144.656,45.89,523,1186,155.772,34.03,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,19,2628.015,123.497,56,160,457.641,101.762,395,1205,165.107,64.44,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,20,901.909,137.9,74,160,257.313,54.292,523,1239,25.084,37.729,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,21,1278.435,125.848,78,160,255.431,68.204,730,1275,69.341,38.432,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,22,665.486,137.457,68,160,167.716,52.571,294,1298,47.42,29.933,100Si,10
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,23,3584.652,133.016,86,160,539.227,120.745,586,1354,27.897,72.541,100Si,10
